Make,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP
Acura,SUV,Asia,All,3.5,6,265,17,23,4451,106,189,36945
Acura,Sedan,Asia,Front,2,4,200,24,31,2778,101,172,23820
Acura,Sedan,Asia,Front,2.4,4,200,22,29,3230,105,183,26990
Acura,Sedan,Asia,Front,3.2,6,270,20,28,3575,108,186,33195
Acura,Sedan,Asia,Front,3.5,6,225,18,24,3880,115,197,43755
Acura,Sedan,Asia,Front,3.5,6,225,18,24,3893,115,197,46100
Acura,Sports,Asia,Rear,3.2,6,290,17,24,3153,100,174,89765
Audi,Sedan,Europe,Front,1.8,4,170,22,31,3252,104,179,25940
Audi,Sedan,Europe,Front,1.8,4,170,23,30,3638,105,180,35940
Audi,Sedan,Europe,Front,3,6,220,20,28,3462,104,179,31840
Audi,Sedan,Europe,All,3,6,220,17,26,3583,104,179,33430
Audi,Sedan,Europe,All,3,6,220,18,25,3627,104,179,34480
Audi,Sedan,Europe,Front,3,6,220,20,27,3561,109,192,36640
Audi,Sedan,Europe,All,3,6,220,18,25,3880,109,192,39640
Audi,Sedan,Europe,Front,3,6,220,20,27,3814,105,180,42490
Audi,Sedan,Europe,All,3,6,220,18,25,4013,105,180,44240
Audi,Sedan,Europe,All,2.7,6,250,18,25,3836,109,192,42840
Audi,Sedan,Europe,All,4.2,8,300,17,24,4024,109,193,49690
Audi,Sedan,Europe,All,4.2,8,330,17,24,4399,121,204,69190
Audi,Sedan,Europe,All,4.2,8,340,14,20,3825,104,179,48040
Audi,Sports,Europe,Front,4.2,8,450,15,22,4024,109,191,84600
Audi,Sports,Europe,Front,1.8,4,180,20,28,3131,95,159,35940
Audi,Sports,Europe,All,1.8,4,225,20,28,2921,96,159,37390
Audi,Sports,Europe,All,3.2,6,250,21,29,3351,96,159,40590
Audi,Wagon,Europe,All,3,6,220,18,25,4035,109,192,40840
Audi,Wagon,Europe,All,4.2,8,340,15,21,3936,104,179,49090
BMW,SUV,Europe,All,3,6,225,16,23,4023,110,180,37000
BMW,SUV,Europe,All,4.4,8,325,16,22,4824,111,184,52195
